Date	User	Tweet	sentiment
2022-03-31 14:32:04+00:00	pikobar_jabar	Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 3, 2 dan 1 di #PikoData https://t.co/o2RnI7eDue	1
2022-03-31 09:26:00+00:00	inewsdotid	"Tempat Ibadah di Wilayah PPKM Level 1 Boleh Berkapasitas 100 Persen. Baca Selengkapnya di https://t.co/JfIG6nIimN
#Ramadhan #PPKM #inews https://t.co/ky1G5xYLQB"	1
2022-03-31 05:02:34+00:00	vdvc_talk	"Juru bicara Satgas Covid-19, Wiku Adisasmito menjelaskan bahwa bukber diperbolehkan dengan menjaga jarak, tidak mengobrol, serta tidak lupa cuci tangan sebelum makan.

Begini kira-kira gambaran bukber tanpa ngobrol. Bagaimana tanggapan sobat VDVC?
#VDVCNews #Viral #PPKM #Bukber https://t.co/SWuFmfaIYN"	1
2022-03-30 14:23:10+00:00	pikobar_jabar	Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 4, 3, dan 2 di #PikoData https://t.co/16XU0AcfPW	1
2022-03-30 11:28:57+00:00	tvOneNews	"Kementerian Agama menerbitkan Surat Edaran Nomor 06/2022 tentang Pelaksanaan Kegiatan Peribadatan/Keagamaan di Tempat Ibadah
Simak berita selengkapnya di https://t.co/0tozDgntCF
#NewsOne #CariBeritaditvOne #Kemenag #PPKM #Ibadah https://t.co/WfqorYEt25"	1
2022-03-30 11:21:18+00:00	lampungpost_	"Kapasitas tempat ibadah, termasuk masjid, yang berada di wilayah dengan penerapan PPKM level 1, kini sudah bisa diisi hingga 100%.
#kemenag #kemenagri #ppkm #ibadah #Ramadan2022 #lampungpost
https://t.co/sfHKzvzphA"	1
2022-03-30 08:00:19+00:00	akusehatklinik	"Halo Sobat Sehat

Dengan adanya kondisi ini, Pemerintah Kota (Pemkot) Bandung turut memberikan beberapa kelonggaran atau relaksasi, khususnya pada bulan Ramadhan yang akan datang kurang dari satu pekan lagi.

#ppkmbandung #ppkm #ramadhan #covid19 https://t.co/5tD2BwRpJH"	1
2022-03-30 04:35:57+00:00	matamilenialID	"Mitigasi Penting untuk Cegah Penyebaran Varian Omicron di RI | Flash News

Nonton selengkapnya disini
https://t.co/y05d1aPvqb

#MataIndonesia #PPKM #Omicron #BeritaTerkini"	1
2022-03-30 04:21:08+00:00	lampungpostid	"Sebanyak 5 (lima) kabupaten di Provinsi Lampung, turun level PPKM dari level 3 ke level 2. 

#PPKM #Beritaterkini #pembatasankegiatan #lampungpostid
https://t.co/B9GIXhFCBx"	1
2022-03-30 03:16:52+00:00	gemaposID	Komentar Satgas Penanganan Covid-19 Tentang Buka Puasa Bersama https://t.co/5Gm7BqtaPT #PPKM #Prokes #SatgasCovid #Bukber #Ramdhan #Puasa	1
2022-03-29 14:06:45+00:00	pikobar_jabar	Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 3, 2 dan 1 di #PikoData https://t.co/yCe4JJ9sgG	1
2022-03-29 10:36:43+00:00	IDbelasting	"PPKM Kembali Diperpanjang, Ibadah Taraweh dan Tadarus Boleh di Masjid 
#ppkm #ppkmdiperpanjang #puasa #ramadhan #airlangga
https://t.co/yzsmprzluV"	1
2022-03-29 09:05:57+00:00	lampungpost_	"Lampung Barat ditetapkan masuk zona PPKM level 3 terhitung mulai 29 Maret sampai 11 April mendatang.

#Lampungbarat #PPKM #COVID19 #lampungpost
https://t.co/YqByJmDRGQ"	1
2022-03-29 06:52:08+00:00	lensaRTV	"Pemerintah mulai melonggarkan aturan pembatasan kegiatan PPKM, salah satunya memperbolehkan masyarakat untuk melakukan kebiasaan buka puasa bersama atau bukber. Dengan syarat jaga jarak, dan tidak berbicara saat makan. 

#bukapuasa #puasa #ramadan #ppkm #bukber  #satgascovid19 https://t.co/fPwp5vEmGf"	1
2022-03-29 06:13:43+00:00	rri_jember	https://t.co/vLsNyBOgDG Terawan #ppkm	1
2022-03-29 06:12:56+00:00	beritajonegoro	"Masuk PPKM Level 2, Sekolah di Blora Sudah Boleh Laksanakan PTM 100 Persen
. 
Simak selengkapnya di: 
. 
https://t.co/mh0UwhTgYp
.  
#blora  #beritablora  #beritabojonegoro  #beritabojonegorocom  #pemerintahan  #pendidikan  #ppkm  #level2  #ppkmlevel2  #PTM"	1
2022-03-29 04:17:49+00:00	lampungpost_	"Pemerintah memperpanjang pemberlakuan pembatasan kegiatan masyarakat (PPKM) di luar Pulau Jawa dan Bali. Seluruh daerah di wilayah aglomerasi itu menerapkan PPKM level 1-3.

#PPKM #Pembatasankegiatan #Covid_19 #lampungpost
https://t.co/aYHtEUGpZ6"	1
2022-03-29 04:04:01+00:00	PerekonomianRI	"#BeritaEkon

Hai #SahabatEkon

Kasus konsisten menurun, Pemerintah membuka tempat ibadah di bulan Ramadhan dan memperpanjang PPKM untuk pengendalian kasus Covid-19.

Yuk, kita simak selengkapnya di:
https://t.co/m7OnBSPhEP

#PPKM
#UntukEkonomiIndonesia https://t.co/dPMh5X6koC"	1
2022-03-29 04:00:45+00:00	riaupos	Kapasitas Tempat Ibadah Mengikuti Level PPKM. - #RiauPos  #Ppkm #TempatIbadah #Ramadan https://t.co/MB3axXyI4G	1
2022-03-29 03:53:11+00:00	murianewscom	"Blora PPKM Level 2, PTM 100 persen Digelar Lagi

Selengkapnya Klik Tautan Berikut ini
#Blora #PPKM #Level2 #PTM #Sekolah
 https://t.co/vKqMzvcR3E"	1
2022-03-29 03:35:03+00:00	jpnncom	Pemerintah memperpanjang PPKM di luar Jawa-Bali dari 29 Maret hingga 14 April 2022. Begini aturan salat tarawih Ramadan #PPKM https://t.co/LvsYc02LLu	1
2022-03-29 02:40:13+00:00	lampungpost_	"Direktur Urusan Agama Islam dan Pembinaan Syariah Kemenag Adib menyebutkan kapasitas jamaah di masjid/mushala selama Ramadhan akan menyesuaikan dengan Instruksi Mendagri Nomor 18/2022 soal PPKM.

#PPKM #Jemaahmasjid #Ramadan #Lampungpost
https://t.co/1khfxOqgnv"	1
2022-03-29 02:28:26+00:00	itbofficial	"Surat Edaran Pemberlakuan Pembatasan Kegiatan Masyarakat di Lingkungan Institut Teknologi Bandung Surat dapat di unduh di laman: 

https://t.co/QFOkzoRO70

#ITBupdate #PPKM #TransformasiITB #ITBsolid"	1
